attribute,example,TEM default,miniTEM-T1 default,miniTEM-T2 default,SEM default,AFM default,SP-ICP-MS default,TRPS default,PTA default,sprayDEMA default,AC-turb default,AC-RI default,AF4-MALS default,DLS default,ALS default,SAXS default,USSP default,XRD default,BET default
wr_detection_quantification_limit,"[1,100] = 1nm - 100nm
[4.5,2000] = 4.5nm - 2µm","[1,5]","[5,1000]","[5,1000]","[5,10]","[1,50]","[10,30]","[50,50]","[10,80]","[2,5]","[5,50]","[1,1]","[1,10]","[1,20]","[50,100]","[1,1]","[10,50]","[,100]","[1,1]"
wr_sensitivity,"-- = Very low (--)
- = Low (-)
o = Moderate (o)
+ = High (+)
++ = Very high (++)",+,+,+,+,+,?,+,+,+,+,+,+,+,+,+,+,o,+
trueness,"-- = Very low (--)
- = Low (-)
o = Moderate (o)
+ = High (+)
++ = Very high (++)",++,o,+,++,++,+,+,+,+,o,+,o,+,o,o,o,+,o
weighting_trueness,"-- = Very low (--)
- = Low (-)
o = Moderate (o)
+ = High (+)
++ = Very high (++)",+,o,+,+,+,+,+,+,++,++,++,++,o,o,o,o,o,o
robustness,"-- = Very low (--)
- = Low (-)
o = Moderate (o)
+ = High (+)
++ = Very high (++)",o,o,o,o,o,+,o,-,+,+,+,+,+,+,+,+,o,+
precision_type,"Either: length
Or: percent",length,length,length,length,length,percent,?,percent,percent,percent,percent,length,percent,percent,percent,percent,?,?
precision,"If length: [1.0,2.0] = 1 - 2 nm
If percent: [1.0,2.0] = 1 - 2 percent","[1,1]","[10,10]","[10,10]","[5,10]","[1,1]","[0.1,2]",?,"[5,10]","[2,5]","[0.1,1]","[0.1,1]","[1,10]","[0.1,2]","[0.1,1]","[1,5]","[1,5]","[1,5]","[1,5]"
resolution_type,"Either: length
Or: percent",length,length,length,length,length,length,?,percent,percent,percent,percent,length,percent,percent,percent,percent,length,?
resolution,"If length: [1.0,2.0] = 1 - 2 nm
If percent: [1.0,2.0] = 1 - 2 percent","[1,1]","[5,5]","[5,5]","[1,10]","[1,5]","[1,1]",?,"[5,7]","[3,3]","[2,2]","[2,2]","[1,10]","[20,50]","[10,20]","[5,20]","[10,50]","[5,10]",?
size_distribution,"no = No
yes = Yes",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no
presence,"no = No
yes = Yes",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes
sl_discr_nnp_same,"no = No
yes = Yes",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no
sl_discr_nnp_same_robustness,"{} = None
{dissolved} = Robust against dissolved impurities
{dissolved,particulate} = All","{dissolved,particulate}",{dissolved},{dissolved},"{dissolved,particulate}","{dissolved,particulate}",{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{},{}
sl_discr_nnp_diff,"no = No
yes = Yes",yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes
sl_discr_nnp_diff_robustness,"{} = None
{dissolved} = Robust against dissolved impurities
{dissolved,particulate} = All","{dissolved,particulate}",{dissolved},{dissolved},"{dissolved,particulate}","{dissolved,particulate}",{},{},{},{dissolved},{},{},{},{},{},{},{},{},{}
sl_discr_np_diff,"no = No
yes = Yes",yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
sl_discr_np_diff_robustness,"{} = None
{dissolved} = Robust against dissolved impurities
{dissolved,particulate} = All","{dissolved,particulate}",{dissolved},{particulate},"{dissolved,particulate}",{},{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{dissolved},{particulate},{}
measurement_aggr,"no = No
yes = Yes",yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes
measurement_aggl,"no = No
yes = Yes",yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes
measurement_individual_particle,"no = No
yes = Yes",yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no
constituent_particle_counting_aggr,"no = No
yes = Yes",yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
constituent_particle_counting_aggl,"no = No
yes = Yes",yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
composition,"no = No
yes = Yes",no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no
size_type,"{} = None
{acoustophoretic} = Acoustophoretic diameter
{acoustophoretic,apparent_hydrodynamic,electrical_mobility,equivalent_circle,feret_crystalline,feret_mean,feret_minimum,height_perpendicular,inner_circle,lateral_size,main_axis_length,mass_equivalent_spherical,stokes,volume_equivalent,other,other_2011} = All","{equivalent_circle,feret_mean,feret_minimum,lateral_size}","{equivalent_circle,feret_mean,feret_minimum,lateral_size}","{equivalent_circle,feret_mean,feret_minimum,lateral_size}","{equivalent_circle,feret_mean,feret_minimum,lateral_size}","{height_perpendicular,lateral_size}",{mass_equivalent_spherical},{volume_equivalent},{translational_hydrodynamic},{electrical_mobility},{stokes},{stokes},{hydrodynamic},{apparent_hydrodynamic},{main_axis_length},{characteristic_length},"{acoustophoretic, volume_equivalent}",{feret_crystalline},{other}
data_format,"{} = None
{cmf} = Cummulative mass function
{cmf,count,vssa} = All","{cmf,count}","{cmf,count}","{cmf,count}",{count},{count},{count},{count},{count},{count},{count},{count},{count},{count},{count},{count},{count},{count},{vssa}
destructive,"0 = no = No
1 = yes = Yes",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no
os_vacuum,"0 = no = No
1 = yes = Yes",yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
os_sample_support,"0 = no = No
1 = yes = Yes",yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
direct_counting,"-- = No (--)
- = Rather no (-)
o = Moderate (o)
+ = Rather yes (+)
++ = Yes (++)",++,++,++,++,++,++,++,o,+,-,-,-,--,--,--,--,--,--
convertibility,"-- = Very bad (--)
- = Rather bad (-)
o = Moderate (o)
+ = Rather good (+)
++ = Very good (++)",++,++,++,++,++,++,++,++,++,-,+,-,--,o,o,o,*,*
full_size_range,"-- = No (--)
- = Rather no (-)
o = Moderate (o)
+ = Rather yes (+)
++ = Yes (++)",+,+,+,+,+,-,o,-,o,o,+,o,o,-,o,o,-,++
upper_size,"-- = Very bad (--)
- = Rather bad (-)
o = Moderate (o)
+ = Rather good (+)
++ = Very good (++)",++,+,+,++,++,o,++,o,o,++,o,o,+,++,--,++,-,++
lower_size,"-- = Very bad (--)
- = Rather bad (-)
o = Moderate (o)
+ = Rather good (+)
++ = Very good (++)",++,+,+,o,++,-,-,-,+,o,++,+,+,-,++,o,+,++
smallest_particle_dimension,"-- = Very bad (--)
- = Rather bad (-)
o = Moderate (o)
+ = Rather good (+)
++ = Very good (++)",+,o,+,+,++,--,--,-,-,-,-,-,-,o,o,-,--,o
primary_particle_access_aggr,"-- = Very bad (--)
- = Rather bad (-)
o = Moderate (o)
+ = Rather good (+)
++ = Very good (++)",+,o,+,+,-,--,--,--,-,-,-,-,-,o,o,-,--,o
primary_particle_access_aggl,"-- = Very bad (--)
- = Rather bad (-)
o = Moderate (o)
+ = Rather good (+)
++ = Very good (++)",+,o,+,+,-,--,--,--,-,-,-,-,-,o,o,-,--,o
availability,"-- = Rarely used (--)
- = Rather rarely used (-)
o = Moderately used (o)
+ = Rather widely used (+)
++ = Widely used (++)",o,-,-,++,+,--,--,o,o,+,+,--,++,++,-,o,o,++
standard,"-- = No (--)
- = Rather no (-)
o = Moderate (o)
+ = Rather yes (+)
++ = Yes (++)",+,o,+,+,--,+,++,++,++,++,*,--,++,++,++,++,o,++
reference,"-- = Very low (--)
- = Low (-)
o = Moderate (o)
+ = High (+)
++ = Very high (++)",++,+,++,++,o,+,-,o,+,+,+,o,+,--,o,o,-,+
eot_preparation,"-- = Inefficient (--)
- = Rather inefficient (-)
o = Moderately efficient (o)
+ = Rather efficient (+)
++ = Efficient (++)",o,o,o,o,o,o,o,+,o,+,+,-,+,+,+,+,+,++
eot_measurement,"-- = Inefficient (--)
- = Rather inefficient (-)
o = Moderately efficient (o)
+ = Rather efficient (+)
++ = Efficient (++)",o,o,o,o,o,++,o,+,o,-,o,-,+,++,+,+,+,o
eot_reduction,"-- = Inefficient (--)
- = Rather inefficient (-)
o = Moderately efficient (o)
+ = Rather efficient (+)
++ = Efficient (++)",o,o,o,o,-,++,++,+,o,+,+,+,+,++,+,+,+,++
eot_total,"-- = Inefficient (--)
- = Rather inefficient (-)
o = Moderately efficient (o)
+ = Rather efficient (+)
++ = Efficient (++)",-,+,-,-,--,+,o,+,o,-,+,o,+,+,+,+,+,+
cost_instrument,"-- = Inefficient (--)
- = Rather inefficient (-)
o = Moderately efficient (o)
+ = Rather efficient (+)
++ = Efficient (++)",--,-,-,-,o,o,++,++,+,+,-,o,++,+,o,+,o,+
cost_analysis,"-- = Inefficient (--)
- = Rather inefficient (-)
o = Moderately efficient (o)
+ = Rather efficient (+)
++ = Efficient (++)",-,+,o,-,--,+,+,+,+,o,o,o,++,+,+,+,+,+
cost_efficiency,"-- = Inefficient (--)
- = Rather inefficient (-)
o = Moderately efficient (o)
+ = Rather efficient (+)
++ = Efficient (++)",-,o,-,-,-,+,+,+,+,+,o,o,++,+,+,+,+,+
expertise,"-- = High expertise (--)
- = Rather high expertise (-)
o = Moderate expertise (o)
+ = Rather low expertise (+)
++ = Rather low expertise (++)",o,-,o,o,-,-,-,-,-,o,o,--,o,o,-,o,o,+
hyphenation,"-- = Very bad (--)
- = Rather bad (-)
o = Moderate (o)
+ = Rather good (+)
++ = Very good (++)",o,o,o,o,-,+,-,-,+,-,-,++,+,+,--,-,--,--
vacuum,"-- = Very high vacuum (--)
- = Rather high vacuum (-)
o = Moderate vacuum (o)
+ = Rather low vacuum (+)
++ = Very low or no vacuum (++)",--,--,--,--,++,++,++,++,+,++,++,++,++,++,++,++,++,--
sample_support,"-- = Inefficient (--)
- = Rather inefficient (-)
o = Moderately efficient (o)
+ = Rather efficient (+)
++ = Efficient (++)",--,--,--,--,--,+,+,+,+,+,+,+,+,+,+,+,+,++
degradation,"-- = Very high risk (--)
- = Rather high risk (-)
o = Moderate risk (o)
+ = Rather low risk (+)
++ = Very low or no risk (++)",o,o,o,o,+,o,+,+,+,+,+,+,+,+,+,+,++,++
